Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"WAJ (EVI)+, (MAK (EVI)+) +2.0 years, (KAK (EVI)+) +2.0 years",0.11,0.091,6.696,3.014,1,1.652
"WAJ (EVI)-, (MAK (EVI)+) +2.0 years, (KAK (EVI)+) +2.0 years",0.262,0.217,7.618,4.677,1,1.854
"WAJ (EVI)-, (NRB (EVI)+) +2.0 years, (MAK (EVI)+) +2.0 years, (KAK (EVI)+) +2.0 years",0.152,0.126,7.969,5.028,1,2.186
"WAJ (EVI)+, (NRB (EVI)+) +3.0 years",0.526,0.395,7.09,4.434,1,2.124
"WAJ (EVI)-, (NRB (EVI)+) +3.0 years",0.468,0.352,6.966,4.725,1,2.092
"WAJ (EVI)+, (KAK (EVI)+) +3.0 years",0.489,0.368,6.237,4.437,1,2.074
"WAJ (EVI)-, (KAK (EVI)+) +3.0 years",0.505,0.379,7.802,4.573,1,2.058
"WAJ (EVI)+, (MAK (EVI)+) +3.0 years",0.437,0.328,7.241,4.635,1,2.277
"WAJ (EVI)-, (MAK (EVI)+) +3.0 years",0.558,0.419,6.868,4.518,1,2.32
"WAJ (EVI)+, (NRB (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.3,0.225,6.298,4.361,1,2.412
"WAJ (EVI)+, (NRB (EVI)+) +3.0 years, (MAK (EVI)+) +3.0 years",0.232,0.174,7.364,4.354,1,2.719
"WAJ (EVI)-, (NRB (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.279,0.209,7.528,4.757,1,1.938
"WAJ (EVI)-, (NRB (EVI)+) +3.0 years, (MAK (EVI)+) +3.0 years",0.263,0.198,6.86,4.556,1,2.232
"WAJ (EVI)+, (MAK (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.153,0.115,5.724,3.666,2,2.202
"WAJ (EVI)-, (MAK (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.221,0.166,7.476,4.107,1,2.11
"WAJ (EVI)-, (NRB (EVI)+) +3.0 years, (MAK (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.132,0.099,7.4,4.03,1,2.226
"WAJ (EVI)+, (NRB (EVI)+) +4.0 years",0.491,0.332,6.631,4.445,1,3.029
"WAJ (EVI)-, (NRB (EVI)+) +4.0 years",0.503,0.34,6.767,4.228,2,2.964
"WAJ (EVI)+, (KAK (EVI)+) +4.0 years",0.404,0.273,5.768,4.044,1,2.333
"WAJ (EVI)-, (KAK (EVI)+) +4.0 years",0.591,0.399,7.337,4.415,1,2.574
"WAJ (EVI)+, (MAK (EVI)+) +4.0 years",0.602,0.407,6.777,4.564,1,2.956
"WAJ (EVI)-, (MAK (EVI)+) +4.0 years",0.392,0.265,6.582,3.959,1,2.741
"WAJ (EVI)+, (NRB (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.216,0.146,5.27,3.71,1,2.918
"WAJ (EVI)+, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years",0.327,0.221,7.0,4.747,1,2.113
"WAJ (EVI)-, (NRB (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.316,0.213,7.019,4.148,2,2.434
"WAJ (EVI)-, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years",0.228,0.154,7.077,4.091,1,2.865
"WAJ (EVI)+, (MAK (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.211,0.142,5.972,4.167,1,1.425
"WAJ (EVI)-, (MAK (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.199,0.134,7.588,3.758,1,3.102
"WAJ (EVI)+, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.105,0.071,5.111,3.828,1,1.546
"WAJ (EVI)-, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years, (KAK (EVI)+) +4.0 years",0.146,0.099,7.84,3.781,1,2.906
"WAJ (EVI)+, (NRB (EVI)+) +5.0 years",0.654,0.395,6.34,4.208,1,2.994
"WAJ (EVI)-, (NRB (EVI)+) +5.0 years",0.34,0.206,6.423,3.885,1,2.421
"WAJ (EVI)+, (KAK (EVI)+) +5.0 years",0.451,0.273,5.87,4.025,1,3.638
"WAJ (EVI)-, (KAK (EVI)+) +5.0 years",0.542,0.328,6.783,4.116,1,3.65
"WAJ (EVI)+, (MAK (EVI)+) +5.0 years",0.523,0.316,6.312,4.241,1,2.856
"WAJ (EVI)-, (MAK (EVI)+) +5.0 years",0.471,0.285,6.431,3.936,1,2.753
"WAJ (EVI)+, (NRB (EVI)+) +5.0 years, (KAK (EVI)+) +5.0 years",0.327,0.198,5.82,4.003,1,3.412
"WAJ (EVI)+, (NRB (EVI)+) +5.0 years, (MAK (EVI)+) +5.0 years",0.366,0.221,6.536,4.338,1,2.434
"WAJ (EVI)-, (NRB (EVI)+) +5.0 years, (KAK (EVI)+) +5.0 years",0.216,0.13,6.667,3.747,1,2.191
"WAJ (EVI)-, (NRB (EVI)+) +5.0 years, (MAK (EVI)+) +5.0 years",0.183,0.111,6.964,3.737,1,1.958
"WAJ (EVI)+, (MAK (EVI)+) +5.0 years, (KAK (EVI)+) +5.0 years",0.183,0.111,6.036,3.977,1,2.172
"WAJ (EVI)-, (MAK (EVI)+) +5.0 years, (KAK (EVI)+) +5.0 years",0.203,0.123,7.323,3.587,1,2.401
"WAJ (EVI)+, (NRB (EVI)+) +5.0 years, (MAK (EVI)+) +5.0 years, (KAK (EVI)+) +5.0 years",0.144,0.087,6.273,3.968,1,2.178
"WAJ (EVI)+, (NRB (EVI)+) +6.0 years",0.529,0.285,6.431,3.847,1,3.003
"WAJ (EVI)-, (NRB (EVI)+) +6.0 years",0.463,0.249,5.587,3.832,1,2.966
"WAJ (EVI)+, (KAK (EVI)+) +6.0 years",0.368,0.198,5.9,4.061,1,2.732
"WAJ (EVI)-, (KAK (EVI)+) +6.0 years",0.625,0.336,6.118,3.74,1,3.362
"WAJ (EVI)+, (MAK (EVI)+) +6.0 years",0.654,0.352,6.18,4.134,1,3.632
"WAJ (EVI)-, (MAK (EVI)+) +6.0 years",0.338,0.182,5.761,3.258,1,3.174
"WAJ (EVI)+, (NRB (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.235,0.126,6.469,4.138,1,2.342
"WAJ (EVI)+, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years",0.368,0.198,6.58,4.04,1,2.832
"WAJ (EVI)-, (NRB (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.331,0.178,5.867,3.845,1,2.487
"WAJ (EVI)-, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years",0.176,0.095,5.458,3.149,1,3.705
"WAJ (EVI)+, (MAK (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.213,0.115,6.414,4.327,1,2.547
"WAJ (EVI)-, (MAK (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.184,0.099,6.24,2.916,1,1.986
"WAJ (EVI)+, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.147,0.079,6.7,4.529,1,2.161
"WAJ (EVI)-, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years, (KAK (EVI)+) +6.0 years",0.11,0.059,6.333,2.599,1,2.496
