Latitude-1 Latitude-2 Longitude-1 Longitude-2
-1.7385 -1.5385 36.1934 36.3934
-1.7385 -1.5385 36.7932 36.9932
-1.7385 -1.5385 37.3931 37.5932
-1.7385 -1.5385 37.9931 38.1931
-1.7385 -1.5385 38.5929 38.7929
-1.7385 -1.5385 39.1928 39.3929
-1.7385 -1.5385 39.7927 39.9927
-1.7385 -1.5385 40.3925 40.5925
-2.3495 -2.1495 33.1939 33.3939
-2.3495 -2.1495 33.7938 33.9939
-2.3495 -2.1495 34.3938 34.5938
-2.3495 -2.1495 34.9936 35.1936
-2.3495 -2.1495 35.5934 35.7934
-2.3495 -2.1495 36.1934 36.3934
-2.3495 -2.1495 36.7932 36.9932
-2.3495 -2.1495 37.3931 37.5932
-2.3495 -2.1495 37.9931 38.1931
-2.3495 -2.1495 38.5929 38.7929
-2.3495 -2.1495 39.1928 39.3929
-2.9605 -2.7605 33.1939 33.3939
-2.9605 -2.7605 33.7938 33.9939
-2.9605 -2.7605 34.3938 34.5938
-2.9605 -2.7605 34.9936 35.1936
-2.9605 -2.7605 35.5934 35.7934
-2.9605 -2.7605 36.1934 36.3934
-2.9605 -2.7605 36.7932 36.9932
-2.9605 -2.7605 37.3931 37.5932
-2.9605 -2.7605 37.9931 38.1931
-2.9605 -2.7605 38.5929 38.7929
-3.5715 -3.3715 33.1939 33.3939
-3.5715 -3.3715 33.7938 33.9939
-3.5715 -3.3715 34.3938 34.5938
-3.5715 -3.3715 34.9936 35.1936
-3.5715 -3.3715 35.5934 35.7934
-3.5715 -3.3715 36.1934 36.3934
-3.5715 -3.3715 36.7932 36.9932
-3.5715 -3.3715 37.3931 37.5932
-3.5715 -3.3715 37.9931 38.1931
-4.1825 -3.9825 33.1939 33.3939
-4.1825 -3.9825 33.7938 33.9939
-4.1825 -3.9825 34.3938 34.5938
-4.1825 -3.9825 34.9936 35.1936
-4.1825 -3.9825 35.5934 35.7934
-4.1825 -3.9825 36.1934 36.3934
-4.1825 -3.9825 36.7932 36.9932
-4.1825 -3.9825 37.3931 37.5932
-4.1825 -3.9825 37.9931 38.1931
-4.7935 -4.5935 33.1939 33.3939
-4.7935 -4.5935 33.7938 33.9939
-4.7935 -4.5935 34.3938 34.5938
-4.7935 -4.5935 34.9936 35.1936
-4.7935 -4.5935 35.5934 35.7934
-4.7935 -4.5935 36.1934 36.3934
-4.7935 -4.5935 36.7932 36.9932
-4.7935 -4.5935 37.3931 37.5932
-4.7935 -4.5935 37.9931 38.1931
