Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3/12/2004,16:00:00,2.8,1274,133,11.7,1041,150,1006,119,1610,994,11.2,27.3,0.9855
3/12/2004,17:00:00,2.4,1510,233,19.3,1277,206,812,149,1910,1410,12.1,30.4,0.9322
3/12/2004,18:00:00,3.9,1525,242,18.2,1246,202,821,145,1847,1448,15.1,34.8,0.9001
3/12/2004,19:00:00,3.7,1843,488,32.6,1610,340,624,170,2390,1887,15.6,34.7,0.9371
3/12/2004,20:00:00,6.6,1598,333,20.1,1299,274,752,149,1941,1627,16.9,35.8,0.9101
3/12/2004,21:00:00,4.4,1484,215,14.3,1127,253,839,139,1723,1491,16.6,42.1,0.8288
3/12/2004,22:00:00,3.5,1677,367,21.8,1346,300,741,134,2062,1657,11.3,49.7,0.7792
3/12/2004,23:00:00,5.4,1280,122,9.6,964,193,963,113,1544,1285,9.6,54.3,0.9012
3/13/2004,0:00:00,2.7,1196,67,7.4,873,139,1071,97,1463,1144,11.7,54.2,0.9978
3/13/2004,1:00:00,1.9,1184,43,5.4,782,83,1176,82,1365,1043,10.7,57.6,0.9483
3/13/2004,2:00:00,1.6,1172,46,5.4,783,-200,1179,-200,1380,996,10.7,58.8,0.9074
3/13/2004,3:00:00,1.7,1147,56,6.2,821,109,1132,83,1412,992,10.8,62.3,0.9467
3/13/2004,4:00:00,-200,978,30,2.6,625,62,1420,65,1274,819,10.3,63.2,1.0100
3/13/2004,5:00:00,1,1100,27,2.9,646,53,1406,60,1268,835,10.1,61.3,0.9990
3/13/2004,6:00:00,1.2,1112,47,5.1,770,139,1228,77,1409,940,10.4,65.8,0.9933
3/13/2004,7:00:00,1.5,1336,132,11.8,1043,256,935,96,1678,1192,10.3,67.4,0.9886
3/13/2004,8:00:00,2.7,1408,239,15.1,1153,295,830,119,1777,1411,11.0,62.9,0.9796
3/13/2004,9:00:00,3.7,1447,160,12.9,1081,250,869,126,1667,1465,9.1,58.7,0.9488
3/13/2004,10:00:00,3.2,1542,283,16.1,1184,296,808,158,1780,1583,9.5,53.4,0.9631
3/13/2004,11:00:00,4.1,1451,210,14.0,1117,239,875,161,1679,1387,9.3,49.3,0.9408
3/13/2004,12:00:00,3.6,1328,154,12.3,1059,153,987,124,1600,1101,9.9,42.1,0.9399
3/13/2004,13:00:00,2.8,1207,112,8.6,924,118,1088,102,1488,850,7.6,36.9,0.9486
3/13/2004,14:00:00,2,1240,108,9.2,947,119,1049,116,1532,947,8.1,35.4,0.9684
3/13/2004,15:00:00,2,1306,111,10.2,987,138,1004,124,1554,1078,8.7,35.7,0.9837
3/13/2004,16:00:00,2.5,1326,97,10.6,1000,148,976,125,1602,1084,8.6,30.4,1.0092
3/13/2004,17:00:00,2.3,1473,191,15.5,1163,227,831,148,1779,1395,9.7,34.6,1.0098
3/13/2004,18:00:00,3.2,1609,258,19.6,1286,277,758,165,1922,1612,11.0,35.5,0.8897
3/13/2004,19:00:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,13.6,44.1,0.8325
3/13/2004,20:00:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,14.2,47.8,0.8575
3/13/2004,21:00:00,4.2,1444,180,13.1,1089,214,844,143,1748,1624,14.2,49.8,0.8675
3/13/2004,22:00:00,3.1,1418,116,10.9,1010,172,892,130,1603,1536,16.0,53.2,0.8496
3/13/2004,23:00:00,2.6,1534,93,11.0,1013,190,889,129,1611,1535,17.7,59.1,0.8273
3/14/2004,0:00:00,2.9,1484,131,11.9,1045,174,880,119,1624,1530,17.1,64.0,0.9681
3/14/2004,1:00:00,2.8,1367,92,8.6,925,128,953,104,1543,1337,14.9,66.8,1.0912
3/14/2004,2:00:00,2.5,1344,132,9.7,968,-200,921,-200,1620,1278,13.4,69.6,1.0772
3/14/2004,3:00:00,2.4,1130,56,5.2,773,70,1130,82,1452,1051,12.6,71.9,1.0587
3/14/2004,4:00:00,-200,1062,32,3.7,691,53,1272,70,1377,929,12.2,68.5,1.0648
3/14/2004,5:00:00,1.2,1076,29,2.5,618,44,1395,63,1333,872,10.6,74.8,1.0634
3/14/2004,6:00:00,1,1028,27,2.4,615,74,1384,67,1340,853,9.9,76.4,1.0635
3/14/2004,7:00:00,0.9,1155,36,4.2,722,101,1225,84,1414,959,9.6,75.3,1.0726
3/14/2004,8:00:00,1.4,1235,57,6.4,828,118,1055,83,1527,1093,9.7,71.0,1.0766
3/14/2004,9:00:00,1.6,1332,129,8.6,923,144,952,98,1614,1225,9.4,61.1,1.0594
3/14/2004,10:00:00,2.2,1445,148,10.9,1009,176,878,114,1696,1355,8.2,51.4,1.0393
3/14/2004,11:00:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,8.0,48.7,1.0264
3/14/2004,12:00:00,2.8,1281,93,7.5,880,113,1084,104,1525,980,7.7,46.7,1.0135
3/14/2004,13:00:00,2,1207,84,7.5,879,103,1104,102,1490,872,8.0,42.7,1.0181
3/14/2004,14:00:00,1.8,1258,99,8.2,906,112,1081,107,1511,900,8.5,62.5,1.0272
3/14/2004,15:00:00,1.9,1458,150,11.9,1045,170,974,129,1646,1099,9.8,75.7,1.0301
3/14/2004,16:00:00,3,1438,156,12.0,1051,180,943,128,1668,1206,11.2,77.4,1.0457
3/14/2004,17:00:00,2.9,1478,122,12.2,1055,160,929,121,1671,1262,14.8,74.9,1.0594
3/14/2004,18:00:00,2.5,1808,262,20.6,1312,261,753,157,1993,1698,16.8,76.0,1.0393
3/14/2004,19:00:00,4.6,1898,341,23.1,1381,325,681,173,2103,1905,19.2,76.3,1.0143
3/14/2004,20:00:00,5.9,1560,214,14.7,1140,217,784,146,1818,1648,19.1,78.0,1.0253
3/14/2004,21:00:00,3.4,1324,100,9.0,940,146,924,121,1587,1423,16.3,78.0,1.0850
3/14/2004,22:00:00,2.1,1349,79,8.8,933,152,933,119,1617,1349,14.2,79.4,1.0053
3/14/2004,23:00:00,2.2,1239,66,7.4,872,104,985,99,1547,1250,13.4,80.1,1.0336
3/15/2004,0:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14.2,81.0,1.0208
3/15/2004,1:00:00,1.8,1224,66,7.0,855,108,998,88,1566,1149,12.1,80.6,1.0323
3/15/2004,2:00:00,1.8,1078,44,4.4,734,-200,1128,-200,1487,1021,10.4,81.8,1.0481
3/15/2004,3:00:00,1.1,1078,44,4.0,711,66,1150,71,1468,1013,10.0,81.2,1.0464
3/15/2004,4:00:00,-200,1075,39,3.9,703,88,1156,74,1464,1010,9.8,82.4,1.0501
3/15/2004,5:00:00,1,1157,51,6.4,830,138,1030,80,1584,1083,9.7,79.9,1.0717
3/15/2004,6:00:00,1.4,1314,107,9.7,966,228,897,89,1710,1235,9.9,80.0,1.0584
3/15/2004,7:00:00,2.2,1797,336,25.9,1451,360,652,114,2323,1680,9.4,79.9,1.0418
3/15/2004,8:00:00,5.5,1961,618,36.7,1701,478,537,149,2665,2184,8.6,79.6,0.9961
3/15/2004,9:00:00,8.1,1771,438,26.6,1470,394,622,157,2262,1973,8.1,80.8,0.9742
3/15/2004,10:00:00,5.8,1564,334,20.1,1300,319,710,155,2029,1798,7.9,78.1,0.9809
3/15/2004,11:00:00,4.2,1430,221,14.1,1120,201,831,134,1783,1522,7.4,74.9,0.9688
3/15/2004,12:00:00,3.1,1417,207,14.9,1146,171,830,119,1831,1404,8.2,61.0,0.9582
3/15/2004,13:00:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,6.3,50.1,0.9630
3/15/2004,14:00:00,2.9,1317,185,12.1,1053,153,926,104,1707,1137,7.2,47.1,0.9773
3/15/2004,15:00:00,2.5,1318,141,11.5,1033,143,950,99,1675,1068,7.2,46.6,1.0075
3/15/2004,16:00:00,2.3,1445,214,14.8,1141,156,857,110,1824,1252,11.1,44.4,1.0382
3/15/2004,17:00:00,2.8,1917,471,32.1,1601,314,631,162,2447,1843,15.5,45.7,1.0434
3/15/2004,18:00:00,6.1,2040,685,39.2,1754,404,542,187,2679,2122,17.8,49.9,1.0552
3/15/2004,19:00:00,8,1895,538,31.0,1573,320,565,165,2443,1992,17.6,53.2,1.0653
3/15/2004,20:00:00,6.5,1595,319,19.9,1294,256,678,145,2058,1707,19.1,56.0,1.0606
3/15/2004,21:00:00,4.2,1439,224,15.3,1159,193,764,125,1856,1494,17.7,52.8,1.0106
3/15/2004,22:00:00,3.2,1142,67,6.9,852,89,1008,101,1547,1164,17.8,51.1,1.0053
3/15/2004,23:00:00,1.4,1304,155,11.1,1019,127,852,103,1731,1272,18.7,50.8,1.0312
3/16/2004,0:00:00,2.1,1074,49,5.4,784,79,1098,88,1483,1040,17.1,54.8,1.0199
3/16/2004,1:00:00,1.2,968,29,2.8,640,43,1320,61,1386,867,15.8,57.2,1.0064
3/16/2004,2:00:00,0.8,929,25,2.3,608,-200,1376,-200,1364,826,14.7,56.2,1.0090
3/16/2004,3:00:00,0.7,941,25,2.6,626,59,1316,59,1373,840,13.6,60.2,1.0230
3/16/2004,4:00:00,-200,937,17,2.0,585,38,1412,52,1348,793,12.5,68.2,1.0363
3/16/2004,5:00:00,0.6,1017,27,3.5,681,82,1246,64,1418,870,11.8,69.6,1.0408
3/16/2004,6:00:00,0.9,1171,50,5.1,770,99,1162,70,1467,930,10.9,71.9,1.0224
3/16/2004,7:00:00,1.3,1541,218,16.2,1185,263,770,97,1889,1407,10.9,72.7,1.0059
3/16/2004,8:00:00,3.4,1539,285,19.7,1287,229,698,95,2055,1507,10.3,72.3,1.0041
3/16/2004,9:00:00,3.7,1735,437,25.1,1431,396,628,150,2211,1843,9.3,72.9,0.9883
3/16/2004,10:00:00,5.3,1571,327,20.0,1297,314,730,162,1973,1729,8.2,75.6,0.9711
3/16/2004,11:00:00,4.1,1452,283,18.3,1250,217,776,154,1868,1583,8.3,77.2,0.9594
3/16/2004,12:00:00,3.3,1579,366,22.3,1359,252,724,161,1998,1671,9.6,74.5,0.9538
3/16/2004,13:00:00,4,1466,318,20.4,1309,263,773,161,1897,1491,7.7,67.4,0.9576
3/16/2004,14:00:00,3.8,1280,228,14.6,1136,180,893,128,1675,1240,7.4,56.0,0.9734
3/16/2004,15:00:00,2.8,1407,201,16.6,1197,184,905,129,1759,1313,9.7,55.5,0.9407
3/16/2004,16:00:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,12.5,62.4,0.9370
3/16/2004,17:00:00,2.9,1447,237,17.8,1235,184,859,139,1778,1296,16.8,58.9,0.8939
3/16/2004,18:00:00,3.4,1551,261,19.1,1271,181,800,137,1875,1432,19.2,54.6,0.8229
3/16/2004,19:00:00,3.9,1474,230,15.8,1173,166,854,143,1776,1432,21.3,54.2,0.7813
3/16/2004,20:00:00,3.2,1800,349,24.9,1426,317,700,177,2106,2034,21.2,55.1,0.7829
3/16/2004,21:00:00,5.1,1379,183,13.5,1101,184,818,138,1710,1602,18.6,57.8,0.7883
3/16/2004,22:00:00,2.6,1201,88,9.1,943,130,935,117,1560,1362,18.0,60.4,0.8068
3/16/2004,23:00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,18.2,63.3,0.8428
3/17/2004,0:00:00,1.7,1072,47,5.4,784,95,1066,90,1442,1114,17.0,65.2,0.8746
3/17/2004,1:00:00,1.2,998,34,4.1,714,70,1169,79,1383,992,15.6,67.3,0.8947
3/17/2004,2:00:00,0.9,933,26,2.6,625,-200,1292,-200,1332,884,14.1,70.1,0.8768
3/17/2004,3:00:00,0.7,883,17,1.9,577,54,1396,60,1303,808,13.4,73.3,0.8653
3/17/2004,4:00:00,-200,869,11,1.6,554,28,1460,40,1268,667,12.3,78.3,0.8325
3/17/2004,5:00:00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,78.2,0.8121
3/17/2004,6:00:00,0.5,1173,84,7.5,878,160,1038,84,1556,1052,11.5,70.1,0.7920
3/17/2004,7:00:00,1.6,1587,260,21.4,1334,320,702,108,1999,1534,10.6,70.9,0.7827
3/17/2004,8:00:00,4.1,1852,534,36.4,1696,377,553,127,2535,1931,10.7,64.2,0.7718
3/17/2004,9:00:00,6.6,1522,368,21.3,1331,280,703,134,2026,1734,10.4,57.9,0.8063
3/17/2004,10:00:00,4.3,1438,200,15.4,1161,221,819,135,1782,1595,10.1,48.0,0.8617
3/17/2004,11:00:00,2.9,1393,145,12.5,1067,210,905,142,1654,1490,11.3,43.3,0.9443
3/17/2004,12:00:00,2.5,1452,188,15.1,1152,204,861,153,1747,1508,10.1,45.5,0.9431
3/17/2004,13:00:00,2.8,1389,152,13.7,1108,161,887,123,1712,1334,9.9,46.7,0.8817
3/17/2004,14:00:00,2.6,1207,103,10.4,994,135,1013,104,1520,1045,8.1,58.2,0.9519
3/17/2004,15:00:00,2,1365,193,15.2,1154,186,940,129,1679,1221,10.9,75.6,0.9675
3/17/2004,16:00:00,2.9,1247,134,12.3,1060,147,1032,114,1525,1069,11.8,75.6,0.8294
3/17/2004,17:00:00,2.5,1557,386,27.0,1478,299,793,158,1981,1569,13.9,79.0,0.7922
3/17/2004,18:00:00,5,1973,577,38.4,1737,411,617,194,2414,2306,15.6,80.5,0.8679
3/17/2004,19:00:00,7.6,1975,523,35.1,1667,347,597,182,2416,2359,16.5,70.5,0.8433
3/17/2004,20:00:00,6.7,1795,472,27.2,1485,336,653,180,2174,2050,17.5,71.5,0.9953
3/17/2004,21:00:00,5.7,1444,206,15.0,1150,202,770,136,1727,1727,17.9,74.0,0.8819
3/17/2004,22:00:00,2.8,1488,216,15.7,1171,178,731,127,1778,1705,18.2,68.2,0.7598
3/17/2004,23:00:00,2.6,1371,159,13.0,1083,154,796,116,1669,1551,18.0,74.0,0.8089
3/18/2004,0:00:00,2.3,1161,70,8.1,904,92,947,107,1502,1240,17.0,77.5,0.9514
3/18/2004,1:00:00,1.4,1064,44,5.5,787,61,1057,88,1407,1115,16.1,77.7,0.9087
3/18/2004,2:00:00,1,970,42,3.6,687,-200,1196,-200,1351,969,14.5,80.2,0.8702
3/18/2004,3:00:00,0.7,954,28,2.9,645,60,1260,78,1334,925,13.2,79.7,0.8796
3/18/2004,4:00:00,-200,931,20,2.5,623,37,1293,57,1307,828,13.1,78.9,0.9088
3/18/2004,5:00:00,0.6,938,26,3.0,650,68,1251,71,1333,893,13.5,80.0,0.8799
3/18/2004,6:00:00,0.7,1166,78,7.7,885,139,1005,85,1551,1075,12.4,79.6,0.8825
3/18/2004,7:00:00,1.5,1643,319,23.3,1384,339,667,124,2094,1610,13.1,79.4,0.8672
3/18/2004,8:00:00,4.7,1934,506,35.8,1682,421,541,151,2468,2051,11.6,77.4,0.8437
3/18/2004,9:00:00,6.6,1617,-200,21.3,1333,349,686,150,2010,1819,10.5,69.2,0.8302
3/18/2004,10:00:00,4.5,1473,-200,14.3,1127,224,831,152,1752,1568,11.7,60.4,0.7798
3/18/2004,11:00:00,2.8,1379,-200,12.5,1068,171,899,139,1663,1374,12.2,56.3,0.7609
3/18/2004,12:00:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,12.9,51.1,0.7627
3/18/2004,13:00:00,2.2,1379,-200,13.1,1087,137,901,126,1660,1144,11.3,37.5,0.7859
3/18/2004,14:00:00,2.3,1322,-200,14.4,1129,149,934,128,1639,1109,11.9,39.6,0.8090
3/18/2004,15:00:00,2.2,1496,-200,16.8,1205,172,822,169,1767,1347,13.3,37.2,0.7912
3/18/2004,16:00:00,2.8,1409,-200,14.5,1131,166,873,149,1689,1206,16.3,31.4,0.7566
3/18/2004,17:00:00,2.7,1513,-200,21.5,1338,214,764,156,1957,1397,17.9,26.9,0.6941
3/18/2004,18:00:00,3.7,1667,-200,26.4,1464,280,683,168,2118,1588,18.3,29.9,0.6323
3/18/2004,19:00:00,5.1,1667,-200,26.0,1453,276,684,176,2051,1569,20.8,39.5,0.5432
3/18/2004,20:00:00,5.1,1430,-200,14.1,1121,178,814,135,1732,1322,22.4,45.0,0.5931
3/18/2004,21:00:00,3.2,1333,-200,10.3,989,129,885,121,1621,1194,20.9,47.4,0.6264
3/18/2004,22:00:00,2.1,1262,-200,8.3,911,95,948,99,1545,1062,19.1,50.4,0.6203
3/18/2004,23:00:00,1.7,1287,-200,8.9,936,126,918,106,1606,1040,18.1,52.0,0.6357
3/19/2004,0:00:00,2,1134,-200,6.6,840,103,1021,96,1501,917,17.3,59.1,0.6737
3/19/2004,1:00:00,1.6,999,-200,3.6,688,48,1229,63,1380,594,15.8,56.7,0.7096
3/19/2004,2:00:00,0.9,961,-200,2.5,622,-200,1382,-200,1301,430,15.9,67.7,0.7194
3/19/2004,3:00:00,0.7,934,-200,1.8,569,20,1440,32,1280,397,15.9,61.7,0.7363
3/19/2004,4:00:00,-200,913,-200,1.3,525,18,1620,28,1260,370,15.0,71.0,-200
3/19/2004,5:00:00,0.5,969,-200,2.3,607,56,1373,61,1324,438,15.1,67.6,-200
3/19/2004,6:00:00,0.7,1182,-200,6.7,845,115,1054,99,1539,704,14.9,71.8,-200
3/19/2004,7:00:00,1.5,1740,-200,22.8,1372,320,671,157,2144,1476,14.8,70.9,-200
3/19/2004,8:00:00,4.8,1819,-200,31.3,1582,357,575,166,2456,1716,14.8,66.0,-200
3/19/2004,9:00:00,6.2,1427,-200,19.2,1275,253,701,149,1980,1398,14.8,58.2,-200
3/19/2004,10:00:00,4,1390,-200,16.4,1191,218,759,135,1879,1268,14.2,50.2,-200
3/19/2004,11:00:00,3.3,1283,-200,14.0,1117,192,813,127,1751,1188,14.5,36.9,-200
3/19/2004,12:00:00,2.8,1304,-200,15.3,1157,176,793,122,1801,1171,14.6,30.9,-200
3/19/2004,13:00:00,3,1364,-200,16.7,1202,198,771,135,1875,1250,14.4,26.7,-200
3/19/2004,14:00:00,3.3,1410,-200,19.0,1268,212,724,139,1957,1344,13.8,26.1,-200
3/19/2004,15:00:00,3.5,1476,-200,19.4,1280,249,708,147,1955,1378,13.2,24.8,-200
3/19/2004,16:00:00,4,1522,-200,20.9,1320,270,690,158,2005,1435,10.4,22.2,-200
3/19/2004,17:00:00,4.6,1442,-200,20.2,1301,231,704,146,1952,1372,11.5,20.5,-200
3/19/2004,18:00:00,4.1,1469,-200,21.7,1344,251,677,144,1997,1471,12.2,24.1,-200
3/19/2004,19:00:00,4.5,1467,-200,19.8,1292,210,698,138,1942,1439,12.3,28.9,-200
3/19/2004,20:00:00,3.9,1421,-200,16.7,1202,249,748,143,1854,1429,11.3,33.7,-200
3/19/2004,21:00:00,4,1175,-200,9.1,945,143,904,116,1604,1081,13.6,36.0,-200
3/19/2004,22:00:00,2.2,1215,-200,8.3,912,127,948,109,1547,993,14.9,39.5,-200
3/19/2004,23:00:00,2.1,1127,-200,5.8,802,104,1064,92,1447,837,15.7,42.1,-200
3/20/2004,0:00:00,1.7,1090,-200,5.2,773,86,1105,83,1429,761,15.2,45.8,-200
3/20/2004,1:00:00,1.6,1017,-200,4.1,718,74,1182,81,1382,650,15.5,50.8,-200
3/20/2004,2:00:00,1.3,997,-200,3.4,677,-200,1252,-200,1359,591,14.3,53.4,-200
3/20/2004,3:00:00,1.3,945,-200,2.9,646,44,1308,55,1332,505,13.2,53.5,-200
3/20/2004,4:00:00,-200,956,-200,3.1,661,42,1260,53,1351,518,12.6,59.2,0.9523
3/20/2004,5:00:00,0.8,966,-200,2.5,622,63,1317,67,1342,571,12.3,62.6,0.9336
3/20/2004,6:00:00,0.8,1064,-200,4.3,728,115,1161,91,1461,842,12.0,59.5,0.9503
3/20/2004,7:00:00,1.1,1300,-200,8.9,935,170,902,113,1623,1145,12.0,64.1,0.9390
3/20/2004,8:00:00,2.1,1348,-200,10.5,998,147,834,102,1689,1218,11.5,57.2,0.9128
3/20/2004,9:00:00,2.4,1425,-200,12.5,1068,166,776,107,1764,1341,10.7,53.2,0.9092
3/20/2004,10:00:00,2.6,1474,-200,12.3,1061,195,768,113,1768,1406,9.0,41.6,0.9129
3/20/2004,11:00:00,2.8,1490,-200,11.7,1039,182,782,108,1757,1422,10.2,30.6,0.9142
3/20/2004,12:00:00,2.6,1495,-200,11.7,1040,168,809,105,1735,1373,11.0,26.8,0.9279
3/20/2004,13:00:00,2.6,1376,-200,9.3,953,125,900,93,1636,1153,9.6,24.4,0.9206
3/20/2004,14:00:00,2.1,1305,-200,7.6,884,95,980,87,1573,927,9.5,23.9,0.8993
3/20/2004,15:00:00,1.7,1283,-200,6.7,844,79,1036,76,1539,766,11.9,21.0,0.8313
3/20/2004,16:00:00,1.6,1392,-200,9.7,967,119,930,94,1649,941,16.2,16.4,0.7862
3/20/2004,17:00:00,2.1,1452,-200,12.4,1063,142,856,110,1774,1146,19.2,16.2,0.7213
3/20/2004,18:00:00,2.3,1633,-200,16.6,1199,215,734,136,1919,1417,19.7,20.5,0.6137
3/20/2004,19:00:00,3.5,1625,-200,16.4,1191,229,733,139,1885,1442,20.6,24.3,0.5283
3/20/2004,20:00:00,3.9,1535,-200,13.7,1108,206,785,125,1820,1323,21.8,29.5,0.5722
3/20/2004,21:00:00,3.3,1323,-200,9.9,973,147,864,111,1712,1125,-200,34.8,0.5605
3/20/2004,22:00:00,2.3,1309,-200,8.9,937,122,905,97,1672,1036,-200,37.4,0.6040
3/20/2004,23:00:00,2.1,1456,-200,10.6,999,175,835,107,1714,1202,-200,38.8,0.6562
3/21/2004,0:00:00,2.8,1300,-200,7.4,872,133,941,90,1577,1054,23.6,43.7,0.6372
3/21/2004,1:00:00,2.1,1203,-200,6.2,823,89,1004,84,1526,903,22.8,47.9,0.6929
3/21/2004,2:00:00,1.6,1195,-200,6.5,836,-200,987,-200,1554,885,20.8,49.7,0.7577
3/21/2004,3:00:00,1.6,1117,-200,5.8,802,85,1029,87,1539,818,18.3,46.5,0.7916
3/21/2004,4:00:00,-200,1062,-200,4.0,711,55,1136,66,1461,700,16.8,53.0,0.7833
3/21/2004,5:00:00,1.1,947,-200,2.1,594,24,1300,36,1390,580,15.8,53.9,0.7469
3/21/2004,6:00:00,0.7,1065,-200,3.6,687,72,1143,62,1492,815,14.9,52.2,0.7418
3/21/2004,7:00:00,0.8,1155,-200,4.4,734,122,1062,91,1528,1035,14.1,55.4,0.7531
3/21/2004,8:00:00,1.2,1220,-200,5.4,782,111,996,89,1560,1067,13.3,58.0,0.7501
3/21/2004,9:00:00,1.4,1301,-200,7.1,862,123,914,93,1633,1114,13.3,53.3,0.7463
3/21/2004,10:00:00,1.7,1279,-200,7.3,870,106,911,81,1646,1000,11.8,42.1,0.7463
3/21/2004,11:00:00,1.8,1267,-200,7.6,883,103,953,82,1617,906,11.2,31.0,0.7346
